Name,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
Albany,US,23 Oct 2019 07:23:21,42.65,-73.75,13.89,76,40,4.1
Provideniya,RU,23 Oct 2019 07:23:21,64.42,-173.23,-5.66,87,76,3.79
Jamestown,AU,23 Oct 2019 07:23:22,-33.21,138.6,19.02,17,0,3.23
Xining,CN,23 Oct 2019 07:23:22,36.62,101.77,1.69,81,100,5.36
Souillac,FR,23 Oct 2019 07:23:22,45.6,-0.6,18.33,88,90,3.6
Georgetown,GY,23 Oct 2019 07:23:22,6.8,-58.16,30.0,70,75,4.1
Cabo San Lucas,MX,23 Oct 2019 07:20:34,22.89,-109.91,25.56,77,5,1.19
Victoria,BN,23 Oct 2019 07:14:14,5.28,115.24,25.0,88,90,0.5
Avarua,CK,23 Oct 2019 07:23:23,-21.21,-159.78,22.0,94,94,0.5
Ushuaia,AR,23 Oct 2019 07:19:44,-54.81,-68.31,12.0,80,75,7.7
Half Moon Bay,US,23 Oct 2019 07:23:24,37.46,-122.43,20.56,93,90,1.98
Ponta do Sol,BR,23 Oct 2019 07:23:25,-20.63,-46.0,27.94,50,27,2.39
Isangel,VU,23 Oct 2019 07:23:25,-19.55,169.27,21.85,85,100,9.02
Saint George,GR,23 Oct 2019 07:19:27,39.45,22.34,26.0,53,0,2.6
Khandyga,RU,23 Oct 2019 07:23:25,62.65,135.58,-11.59,96,100,1.22
Cape Town,ZA,23 Oct 2019 07:23:26,-33.93,18.42,17.78,72,75,5.7
Kinablangan,PH,23 Oct 2019 07:23:26,7.69,126.55,23.38,87,72,1.18
Upernavik,GL,23 Oct 2019 07:23:26,72.79,-56.15,-4.29,54,100,3.55
Walvis Bay,NA,23 Oct 2019 07:23:27,-22.95,14.51,22.0,46,0,7.2
Busselton,AU,23 Oct 2019 07:23:27,-33.64,115.35,13.89,53,78,8.05
Qaanaaq,GL,23 Oct 2019 07:23:27,77.48,-69.36,-8.11,71,100,7.39
Vaini,IN,23 Oct 2019 07:23:28,15.34,74.49,21.0,94,75,1.5
Kruisfontein,ZA,23 Oct 2019 07:23:28,-34.0,24.73,16.49,57,43,8.49
Kuchurhan,UA,23 Oct 2019 07:23:28,46.74,29.98,13.0,93,75,2.0
Bethel,US,23 Oct 2019 07:23:29,60.79,-161.76,2.0,86,90,13.9
Rikitea,PF,23 Oct 2019 07:23:29,-23.12,-134.97,21.22,90,100,9.51
Amahai,ID,23 Oct 2019 07:23:29,-3.31,129.0,26.95,77,100,2.57
Arraial do Cabo,BR,23 Oct 2019 07:23:29,-22.97,-42.02,25.0,65,40,4.6
Saldanha,PT,23 Oct 2019 07:23:30,41.42,-6.55,12.94,66,100,3.33
Inhambane,MZ,23 Oct 2019 07:23:30,-23.87,35.38,27.0,83,75,12.3
Lumeje,AO,23 Oct 2019 07:23:30,-11.56,20.78,32.09,30,100,1.92
Maragogi,BR,23 Oct 2019 07:23:30,-9.01,-35.22,25.63,74,94,4.96
Great Yarmouth,GB,23 Oct 2019 07:23:31,52.61,1.73,15.56,77,20,2.6
Nizhnyaya Tavda,RU,23 Oct 2019 07:23:31,57.67,66.17,1.05,83,100,5.44
Kavieng,PG,23 Oct 2019 07:23:31,-2.57,150.8,29.07,73,1,7.09
Murgab,TM,23 Oct 2019 07:23:32,37.5,61.97,19.0,42,40,2.1
Severo-Kurilsk,RU,23 Oct 2019 07:23:32,50.68,156.12,3.55,88,84,2.1
